n,chapter,chapter_title,part,quote,attribution,what_it_buys_you,what_ignoring_it_costs
11,2,Leaving,One,Leave in daylight or not at all.,Deniz Aksoy,"Sight, which is the entire game. In daylight you can see a blocked road from four hundred yards, read a junction, spot the group at the bridge before it spots you, and turn around with room to do it. Deniz drove lorries for nineteen years and his whole philosophy came down to one line: the dark does not hide you from them, it only hides them from you.","Night driving after the first week means arriving at every problem at the moment you are closest to it. The road out of Bracewell was cut by a fallen tree at head height across a bend. In daylight it is a nuisance and you reverse. Four families hit it in the dark over two nights. If your trigger fires at nine at night, you lock the door and you go at first light. Waiting eight hours is not the same as waiting four days."
12,2,Leaving,One,Everything you carry has to go six miles uphill.,Aiden Kerr,"An honest packing list. Load the bag, put it on, walk to the end of the lane and back with it, and it will tell you the truth in about ten minutes. What survives that test is water, food, a blade, cordage, a means of fire, a means of boiling, dry socks, a coat and a bag of medicine. Aiden had a rule for anybody hesitating over an object: if you would not carry it up the fell for somebody else, leave it.","You will decide what to abandon while exhausted, on a road, in front of people who are watching you do it. That is how good equipment ends up in hedges and how people arrive somewhere with a full pack of the wrong things. The other cost is speed. A man carrying forty kilos walks at two miles an hour and cannot run at all, and there are afternoons when the ability to move quickly for ninety seconds is worth more than everything in the bag."
13,2,Leaving,One,"Take the map, not the phone.",Joyce Attwell,"Every lane, ford, footpath, farm track and contour line in the district, in your hands, in the rain, for years, without power. A paper sheet lets you plan around the roads everybody else is on. The ability to move by tracks that do not appear on a road atlas is the largest tactical advantage available to a person on foot in this country.","Roads. You will move on roads because roads are what you can remember, and roads are where everybody else is. By the second week roads have people on them who are waiting for people like you. Joyce took eleven Ordnance Survey sheets out of the school cupboard on the first Friday and they have routed more journeys than anything else we own. Nobody has ever asked me for a phone."
14,2,Leaving,One,"Siphon on the way out, not on the way back.",Tom Shackleton,"Range while range still matters. In the first fortnight there is fuel in every driveway in the county and it is nobody's, and the tanks are full because people topped up in the panic and then never went anywhere. Take it as you pass. A jerry can filled on Tuesday is forty miles you can spend later on a decision you have not had to make yet.","Petrol goes off. It is stale in six months and useless in a year, and the water in the bottom of an abandoned tank arrives at the same time. The people who thought of fuel as a thing they could come back for came back to varnish. There is a window of about three months when the whole county is a fuel depot, and it closes without any announcement."
15,2,Leaving,One,A vehicle is a loud room with windows.,Elin Pryce,"The right relationship with the thing that feels safest. A van gets you eighty miles. Then it is a metal box that announces you for half a mile in every direction, cannot leave the road, and cannot be defended by the people inside it. Use it hard and early for distance, and stop thinking of it as shelter the moment you arrive.","People sleep in cars because a car has doors and doors feel like a house. Elin found a family who had done it in a lay-by above Wigglesworth, and they had done everything else right. The windows are the problem. You cannot see out at night and everything can see in, and a car park is a place other people also think of as safe. Sleep in a building with two exits, or in a hedge, and leave the vehicle where it can be reached without walking into the open."
16,2,Leaving,One,"Have a second destination, and tell nobody outside the house what it is.",Colm Reidy,"Somewhere to go when the first place is burnt, occupied, or full. Half of all journeys in the first month failed on arrival, and the families who had a second name in their heads turned around inside an hour. The ones who did not stood in a yard arguing until dark, which is how people end up sleeping somewhere they have not chosen.","Improvisation at the worst moment. The second half of the rule is harder and it is the half people break. A destination that four groups know about is a destination four groups will walk to when their own plan fails, and none of them will be arriving in a good mood. Tell your household. Tell whoever you would want to find you. Beyond that, say you are heading north."
17,2,Leaving,One,Go back for the animals once.,Elin Pryce,"A decision you can live with, and a limit on it. Elin was a large animal vet and she understood better than anybody what it costs a person to walk away from stock in a shed. So the rule is not do not go back. It is go back once, in daylight, with somebody watching the road, and open every gate you can reach before you leave. Opened gates are the difference between a slow death and a chance.","The second trip is where people die, and the third is where they die having achieved nothing. The pull increases rather than fades. Elin went back four times to a practice in Settle for drugs that were already gone by the second visit. She said afterwards that she had not been going for the drugs since the first time. Know what the journey is actually for. Then go once."
18,2,Leaving,One,"Staying is a decision too, and for some people it is the right one.",Tom Shackleton,"Ground you know in the dark. Tom never left Hillfoot and is the reason a good deal of this book exists. A farm with its own water, walls, stock and one approach is worth more than any journey. A man of seventy with bad hips will not survive a fortnight on the road. The road is not safety. It is a different set of risks that happen to be moving.","Nothing, if you have chosen it. This rule exists to stop the rest of the chapter from becoming a command to run, because running is what people do when frightened and it is not always right. Weigh what you actually have: water, walls, exits, neighbours, and legs. If the answer is that your ground is better than the road, then say so out loud to the people in your house, and stop relitigating it every evening. Deciding to stay and then half staying is the worst of the three."
19,3,"Noise, Light and Smell",One,Assume every sound you make travels twice as far as you think.,Colm Reidy,"A working margin. Sound carries further at night, further in cold air, further along water and much further down a valley than daytime intuition allows for. Every person who has tested this has been shocked by the result. Send somebody half a mile down the lane at ten at night and have them tell you what they can hear of your house. The answer is the rule.","You will draw things towards you while believing you are being careful, which is worse than being careless, because careless people stay alert. The families that were overrun in the first winter were not loud households. They were households that had decided they were quiet ones, on no evidence, and had stopped checking. Test it from outside. Everything else in this chapter is guesswork until you have."
20,3,"Noise, Light and Smell",One,Cook before dusk.,Ruth Cadogan,"The smell and smoke of your kitchen are released into the one part of the day when the air is still moving and light hides nothing that dark would hide anyway. Cooking in daylight, eating at dusk and having a cold, dark, quiet house from nightfall onwards is the single largest change a household can make, and it costs nothing but habit.","Cooking smells at night travel down a valley on the cold air with nothing to compete with them. They can be picked up at a distance that will not seem credible. Stand in a lane and smell somebody else's meal from a quarter of a mile away. Ruth's household ate at four in the afternoon for three years. The people who kept eating at seven kept being visited, and never worked out why."
21,3,"Noise, Light and Smell",One,"One lamp, one room, and cover the window before you strike the match.",the Whitewell list,"Light, which people give up too readily and then live worse for. You do not have to sit in the dark. You have to make a single room lightproof, do it properly with battens and blankets rather than a curtain, and check it from the yard once. Then that room can have a lamp in it every night of the winter and the house stays black from the lane.","A candle behind an ordinary curtain is visible for a mile and a half across open country and it is the only light in the landscape. Nothing else advertises occupancy like it, and it advertises to people as much as to anything else. The order of the rule matters and is the part people get wrong: cover first, then light. Doing it the other way round means you have already broadcast for the ninety seconds it takes to hang the blanket."
22,3,"Noise, Light and Smell",One,"A dog is a decision, not a companion.",Elin Pryce,"Honesty about a trade that people make without noticing they have made it. A dog is the best early warning system available and is worth more than any watch rota. A dog is also a thing that barks at the wrong moment, needs feeding, and cannot be told to be silent when it matters. Elin's position was that a working dog that has been trained to stop on command is an asset and an untrained one is a liability with a face you love.","Two households I know of were emptied because of a dog, and both of them had been told and had made the reasonable human choice. If you keep the dog, train it in the first month while you still have food to train with, and understand what you are keeping. If you cannot train it, you are choosing company over warning, and that is a real choice that people are allowed to make. Make it with your eyes open."
23,3,"Noise, Light and Smell",One,"Never run where you can walk, and never walk where you can wait.",Deniz Aksoy,"Running is the loudest thing a person does, and it turns one problem into three. A running human is visible at distance and is understood by everything that sees it. Walking is quiet, is thinking speed, and can be stopped. Waiting is free. Deniz reckoned that four out of every five situations he had been in would have resolved on their own if the person had stood still for a hundred seconds.","A hundred yards of panic and you are somewhere you have not chosen, breathing hard, with no idea what is behind you. The rule is not about courage. It is about the fact that the first movement is almost always a reaction, and reactions in this world are expensive. Stop. Count to a hundred. Then move at a walk."
24,3,"Noise, Light and Smell",One,Metal on stone carries further than a voice.,Aiden Kerr,"The specific knowledge of which noises are the dangerous ones, which is not intuitive. Human speech at conversational volume is absorbed by hedges and walls and is a poor traveller. A dropped pan, a bolt thrown on a gate, a spade struck on a flag, a car door: these are metallic, sharp, and belong to nothing in a landscape. Wrap what you carry. Tape the buckles. Aiden lined his pack with a jumper for two years.","You will be careful about the wrong thing. Households whisper indoors and then hang a metal bucket on a gatepost. Walk your own yard and find every hard surface that can be struck by accident in the dark, and deal with all of them in an afternoon. It is the cheapest hour of work in this book."
25,3,"Noise, Light and Smell",One,Fix the hinge before it needs fixing.,Tom Shackleton,"A place that does not announce its own use. Every gate you open twenty times a day, every door, every latch, every board on a stair. Tom greased everything at Hillfoot on a schedule and it sounded like nothing at all, and I did not understand why he bothered until I stayed somewhere that had not.","You will start avoiding your own infrastructure. That is the real cost and it takes months to show. People stop using the near gate because it squeals, so they walk the long way round in the open. They stop going to the store after dark because of the door, so they carry a week of food at a time and lose the ability to move at night. A place that is noisy in small ways slowly bends everybody's behaviour into worse shapes, and nobody ever names the hinge."
26,3,"Noise, Light and Smell",One,Smoke is a letter with your address on it.,Samuel Oyelaran,"Warmth, if you are clever about it, and the whole of the second winter for the households that were. Burn dry wood and only dry wood. Burn it hot and fast rather than smouldering it all day. Burn in the middle of the day, when the sky is white and there is weather about. Never on a still, clear, cold morning, when a column will stand up three hundred feet and be visible from the far side of the valley.","The most reliable way to find people in this country is to stand somewhere high at seven in the morning and look. Sam did it for the Bracewell people as a survey and mapped eleven occupied houses in a single hour, none of which knew they were visible. Green wood and a banked fire produce a white smoke that hangs and does not disperse. That is the signature everybody looks for, and it is the one produced by a household trying to make its fuel last."
27,3,"Noise, Light and Smell",One,Keep something loud that you are allowed to do.,Joyce Attwell,"A household that can bear its own discipline. Joyce ran a singing hour on Sunday afternoons in a stone cellar with two doors shut. She took a great deal of quiet mockery for it in the first year and none at all in the second. Every rule in this chapter is a small tax on being a person, and a year of paying it without relief produces households that are silent, careful, obedient and coming apart at the seams.","Children who whisper. Adults who flinch at a dropped spoon. Arguments about nothing at ten at night, which is what unspent fear turns into. Two of the households that failed in the second winter did not fail to anything outside their walls. Pick your hour, pick your room, do it properly with the doors shut and somebody on the lane, and then be as loud as you like inside it. The point of surviving is not to become something that cannot sing."
28,4,Water and Waste,Two,Boil it.,the Hillfoot parlour door,"Nearly everything. A rolling boil kills what is in the water in this country. It needs no filter, no chemical, no fuel you do not have, and no judgement you are not qualified to make. It was the first of the seven rules on the parlour door, and it is two words long. The man who wrote it understood that a rule you have to remember correctly under pressure has already failed.","Four days on a floor, and the household around you cutting its own throat trying to nurse you with the same water. The lie the eye tells is the whole problem: it looked clean, it was moving, it came off the fell. All true, and none of it relevant. Boil the water that came off the fell. Boil the water from the tap that still runs. Boil it when you are tired. That is the rule."
29,4,Water and Waste,Two,"Two containers, and they never touch.",Marta Ellison,"A system that cannot be broken by tiredness. One vessel for raw water, one for boiled, marked differently, kept in different places, never swapped and never nested inside each other for storage. Marta painted the raw ones red with fence paint. A household that has done this can be exhausted, ill and working in the dark and still not poison itself, because the correct action is the only available action.","You will do everything right for eleven weeks and then pour boiled water into the can that carried the dirty, at night, and undo all of it. This is the most common single failure I know of and it is never committed by careless people. It is committed by tired ones, at the end of a long day, in a kitchen with one clean surface. Design for the tired version of yourself. She is the one who will be doing this."
30,4,Water and Waste,Two,Site the latrine downhill of the water and twice as far away as feels necessary.,Samuel Oyelaran,"Permanence. Thirty metres from any well, spring, beck or standing water, downhill, downwind, and dug deep with the spoil kept beside it to cover each use. Do it in the first week while it is a matter of choosing, and you have solved it for years. Sam's figure was thirty metres and he was scathing about people who negotiated with him about the last ten of them in the rain.","A hillside is not a diagram. Water moves under it, along the rock, in directions you cannot see from the surface, and it will arrive in your spring six weeks after you made a decision you have since forgotten making. That gap is why nobody ever connects the two. Two households on the Slaidburn road spent a winter ill and blamed the flour. It was not the flour."
31,4,Water and Waste,Two,"Wash your hands before you eat, every time, with no exceptions and no soap.",Marta Ellison,"The largest single reduction in illness available to a household, for the cost of a jug and thirty seconds. Soap helps and its absence is not an excuse: running water over hands with vigorous rubbing removes most of what matters, and the mechanical part is doing most of the work. Ash and water is a serviceable soap and you have ash.","The whole route from latrine to hand to bread to family, which is the route that empties houses. Marta's argument at Whitewell was that no other intervention gives so much for so little. She pushed for a jug at the door of every eating room, not a rule people had to remember. Make it a fixture and not a virtue. Virtue is not there on the bad days."
32,4,Water and Waste,Two,Rain is the cheapest water you will ever have.,Colm Reidy,"Volume, off any roof, from any weather, without a journey. A shed roof and two butts will keep a household in washing and stock water through most of the year in this country, which means your drinking water and your carrying trips are for drinking alone. Boil what you drink anyway. Birds use the roof too.","Every litre you did not catch is a litre somebody walks for, and walking for water is the most dangerous routine activity in this book. It is predictable. It happens at the same time each day. It goes to a place other people also need, and it is done by somebody carrying weight with both hands full. Cut the number of trips and you cut the exposure, and the roof does it while you sleep."
33,4,Water and Waste,Two,"Never drink from still water, whatever it looks like.",Elin Pryce,"A simple rule for choosing a source when you have no way of testing one. Moving water in the hills, above habitation, above stock, taken from the middle rather than the edge, is the best you will find. Elin's veterinary eye was on the ground above the source: what grazes there, what is dead in it, what drains into it after rain.","Still water concentrates everything that has entered it and adds its own. A tarn, a trough, a flooded ditch, the pool below a ford where cattle stand. All of them look calmer and cleaner than a peaty beck, and the peaty beck is the safer drink by a distance that is not close. Colour is not contamination. Stillness is."
34,4,Water and Waste,Two,Put the water on a rota and never let one person own it.,Ruth Cadogan,"A household that keeps working when somebody is ill. That is precisely when the water job matters most, and when the person who has always done it is on the floor. Everybody fetches, everybody boils, everybody knows where the site is and how the containers are marked. Ruth ran hers on a fortnightly rotation with a written list.","Water goes unfetched on the exact day it is most needed, and somebody improvises, and the improvisation is what kills. There is a second cost that is slower and worse. A household where one person carries every load builds a quiet resentment. It comes out in the second winter as something else, and it will look like an argument about cooking."
35,4,Water and Waste,Two,"Filter for grit, boil for life, and do not confuse the two.",Samuel Oyelaran,"Clarity about what your equipment does. Cloth, sand and charcoal take out silt, leaf and much of the taste, and they make water pleasant to drink and easier to boil. They do not make it safe. Sam built beautiful slow sand filters at Bracewell and put a sign on every one of them saying this water is not yet drinkable.","People trust apparatus. Give a household a filter that produces clear water out of brown, and within a month somebody will be drinking straight from the tap on it. It looks like a machine, and machines feel like a warranty. That sign is the whole reason nobody at Bracewell ever did. Filter first if you like. Then boil, every time, without an argument."
36,4,Water and Waste,Two,A dirty person who is drinking beats a clean one who is not.,Bibi Farooq,"Priorities, on the day the whole system fails. If you have one pan of water and a choice between washing and drinking, drink. If you have a source you distrust and no fire, drink it and be ill later. The person who refuses to drink for two days in August will be past making decisions by the evening of the second. Bibi was a pharmacist and she had watched people become fastidious about exactly the wrong thing.","This chapter, taken as scripture, has killed people. There was a man on the Ribble who would not drink from a beck he could not boil. He walked eleven miles in July looking for a better one. He was found four fields from a spring. The rules above are for the ordinary weeks, which is almost all of them. On the day that is not ordinary, drink the water."
37,5,Wounds and Fever,Two,Every wound is dirty. Treat it as dirty.,Marta Ellison,"The right starting assumption, which does more than any technique. Clean water, a lot of it, poured with height and force rather than dabbed. Get out the grit, the wool, the thread, the fragment of gate. Marta's line was that irrigation is ninety per cent of wound care and that everybody wants to skip to the interesting part, which is the dressing, because the dressing feels like treatment and washing feels like tidying.","A closed wound with dirt under it, which is a warm dark container for the thing that will kill the person. It will look fine for two days. That is the cruel part and the reason the rule has to be an assumption rather than a judgement, because on the day you decide a wound looks clean enough you will be wrong at a rate of about one in twenty, and one in twenty over three years is everybody you know."
38,5,Wounds and Fever,Two,Clean water and pressure beat every ointment in the house.,Bibi Farooq,"A correct order of operations when your instinct is reaching for a bottle. Bleeding stops with firm direct pressure held for ten minutes by a clock and not by feel, and almost nobody holds it long enough. After that, water. The tube of antiseptic cream in the drawer is close to irrelevant, and Bibi was blunt about honey, spirits, iodine and every other favourite: they are arguments about the last five per cent.","Time spent on the wrong thing at the only moment when the right thing works. She watched a man lose a hand over a fortnight that started with a farm injury and a cupboard full of remedies applied one after another to a wound nobody had washed. Hold pressure. Then wash it properly, with more water than seems reasonable. Then dress it and leave it alone."
39,5,Wounds and Fever,Two,Draw a line round the redness and write the time on the skin.,Marta Ellison,"Evidence instead of impression. A pen line at the edge of the red, with the hour beside it, turns a vague worry into a measurement, and it means the person who looks at four in the afternoon is comparing against a fact rather than against what they remember from breakfast. Spreading beyond the line, red tracking up the limb, heat, swelling, or a fever coming on: those are the signals, and the line is what makes them visible.","Two days. Infection is a race and every treatment available to us works better early, so the entire value of watching is in noticing sooner. Households without the line always report the same thing afterwards, which is that it seemed to happen overnight. It never happens overnight. It happens over four days in front of people who have no way to compare Tuesday with Thursday."
40,5,Wounds and Fever,Two,Antibiotics are a course or they are nothing.,Bibi Farooq,"A stock that still works in a year. Whatever you have, use it when it is needed and then use all of it, at the intervals, to the end, even after the person feels better on day three. Bibi kept hers behind a locked door and made every request go through a conversation, and she refused far more often than she agreed.","Half a course clears the easy part of an infection and educates the rest, and the person is ill again in a fortnight with something that no longer answers to the only drug in the valley. That is not a private decision. It spends a resource that belongs to everybody, and there is no more of it coming. The other cost is hoarding: tablets kept in a damp drawer for the day they are needed are usually past use by the time somebody is dying in front of you."
41,5,Wounds and Fever,Two,Teeth will take more of you than anything with teeth.,Elin Pryce,"Attention to the thing that is coming for everybody and is entirely preventable. Brush with a stick and ash or salt if there is no paste, and keep doing it every day of the winter when nobody can see you and it feels absurd. A tooth abscess is a serious infection nine inches from the brain, in a place where nobody can treat it, and it arrives on a schedule dictated by two years of neglect.","Elin had pulled teeth from cattle and ended up pulling them from people, without anaesthetic, on a kitchen table, four times in the second year. She described it as the worst thing she has done and said that every one of the four was avoidable eighteen months earlier by a person spending ninety seconds a day on something they could not see the point of. Sugar and neglect. That is the whole mechanism."
42,5,Wounds and Fever,Two,"A bite is not a diagnosis, and it is never yours to pass sentence on.",the Whitewell list,"A household that does not turn on itself in its worst hour. The rule as written has three parts: the bitten person is nursed and not restrained; they are asked what they want while they are still able to say it; and no decision about them is made by one person alone. The Whitewell list is the only document in this book that was written by a committee, and it took them nine hours.","I could fill the chapter. Two brothers on the Bolton road, one of whom was bitten by a dog. A woman locked in an outbuilding for six days over an injury nobody could identify who died of dehydration in there while the household argued about her. Fear does the sentencing, and fear is always in a hurry, and it is always certain. Whatever you believe about what a bite means, the household that decides in an hour, without the person's voice in it, will get it wrong more often than the household that waits and watches. And getting it wrong here is not a mistake you can put down afterwards."
43,5,Wounds and Fever,Two,Fever is a clock. Start it at the first shiver.,Bibi Farooq,"A record, and a threshold you have agreed on in advance. Write the time of the first rigour, then the state every four hours on paper: hot or cold, drinking or not, talking sense or not, passing water or not. That last one is the most useful sign available without equipment, and it is the one everybody forgets to ask about.","Decisions made from panic at three in the morning about a person who has actually been improving since midnight, or the reverse, which is worse. Bibi would not release anything from the store without the paper, and she was thought hard for it. The paper meant that the household asking her had already looked properly, and it meant she could tell the difference between a fever that was going somewhere and one that was not."
44,5,Wounds and Fever,Two,Whoever is nursing eats and sleeps first.,Ruth Cadogan,"A second week of care. Nursing is a job of days and it is done at night, and the person doing it stops eating without noticing because there is always something else to do. Ruth ran it as a rota with hard reliefs and sent people to bed when their shift ended whether or not they wanted to go. It sounds cold. It is the reason the sick at Bracewell were still being turned at the end of a fortnight.","The nurse goes down, and now you have two patients and nobody who knows the history. The households that lost the most people in the second winter were not the ones with the most illness. They were the ones where one person, almost always the same person, tried to hold all of it alone and was on the floor by the ninth day."
45,5,Wounds and Fever,Two,You are allowed to stop treating and start comforting.,Hanna Volk,"A better death, which is a real thing to be able to give somebody and which most of us have forgotten is a choice at all. Warmth, water, clean bedding, light, company, and somebody holding a hand: those are all available to us. Hanna sat with eleven people and said afterwards that she had never once regretted stopping and had regretted continuing three times.","Days of pain spent on interventions that were not going to work, and a family that spends its last hours with somebody arguing about a treatment instead of talking to them. There is a moment when the honest answer is that this person is dying, and everything after it is about how. Recognising the moment is not giving up and it is not something to be ashamed of. This is the exit from this chapter, and it is the one I have needed most."
46,6,Food and the Long Hunger,Two,"Eat the perishable first, in order, and write the order on the wall.",Ruth Cadogan,"Weeks of food that would otherwise rot in front of you. Freezer, then fridge, then fresh, then root and dry store, then tins, in that sequence, with the list written up where everybody can see it so that nobody is deciding at the cupboard door. Ruth's board had three columns and a date beside each item and it fed nine people through a summer.","Households eat what they fancy, which means they eat the tins because tins feel like the emergency ration, and the fresh food spoils while they are protecting the food that would have kept for four years. This is the most common error of the first fortnight and it is committed out of prudence. Eat in the order that things go bad. Save what does not."
47,6,Food and the Long Hunger,Two,Salt is worth more than ammunition.,the Gisburn stock book,"Preservation, which is the entire difference between a good autumn and a hungry March. Meat, fish, beans, cabbage, hide. Salt is heavy, cheap while there is any, and impossible to make in this country in any quantity, and there is a note in the stock book from the first winter that reads simply: get salt, all of it, now, in a hand that is noticeably less steady than the rest.","A glut you cannot hold. The second autumn was extraordinary. There was more meat in this valley in October than we could eat, and by December there was very little, because it had been eaten fresh or lost, and the households with salt went into the spring with a barrel and the others went into it with nothing. Trade for salt. Take it from every kitchen you pass. It does not spoil and it never gets cheaper."
48,6,Food and the Long Hunger,Two,Never eat the seed.,Tom Shackleton,"Next year, and the year after. Seed potatoes, grain, beans held back for sowing, and the two ewes you do not kill. Tom kept his separate, in a locked stone store, labelled, and treated the store as though it were not food at all, which is the only way anybody manages it. It is a small quantity that stands between a household and permanent dependence.","In February the seed store is the best food in the house and there is a hungry child in it, and I am not going to pretend that this is a straightforward rule to keep. But a household that eats its seed has converted a farm into three good meals, and there is nothing after that except asking somebody else for seed on their terms, and their terms in March are not the terms they would have offered in October. Tom's answer was to make the decision structural. Lock it. Give the key to somebody who will not be in the kitchen at midnight."
49,6,Food and the Long Hunger,Two,Hunger makes bad plans look reasonable. Eat before you decide.,Deniz Aksoy,"Judgement at the moment it is worth most. A hungry group will talk itself into a raid, a river crossing, a trade with people it does not trust, or a walk to a rumour, and will experience all of that as clear thinking. Deniz would not hold a planning conversation before a meal, and the rule at his table was that anybody who suggested something ambitious got a bowl before an answer.","The worst decisions of the second winter were all made at the end of the day, by people who had eaten once, about food. Three of them killed somebody. Hunger does not feel like impairment from inside; it feels like urgency and clarity. That is what makes it more dangerous than tiredness, which at least announces itself."
50,6,Food and the Long Hunger,Two,Learn three wild foods properly instead of thirty badly.,Elin Pryce,"Real calories from things you cannot misidentify. Nettle, which is everywhere and is unmistakable and holds up boiled. Hawthorn leaf in spring. Fish, if you have water. Elin's whole argument was about confidence under pressure: three plants you know absolutely, in quantity, in all their stages, are worth more than a book of thirty you half know, because you will be foraging tired and in poor light.","The foraging books make it look like a larder and it is not. Wild food in this country is a supplement, not a diet, and the calories per hour of searching are terrible compared with a garden or a snare. The households that leaned on it went into the winter light. And there is the other cost, which is rarer and absolute: two deaths in the valley from something eaten by somebody who was fairly sure."
51,6,Food and the Long Hunger,Two,Cache in three places and never all of it anywhere.,Aiden Kerr,"Survival of a disaster rather than an inconvenience. Split the store: some in the house, some buried or walled up at a distance, some at a third site nobody discusses. Fire, theft, rot and flood are all single-location events, and a household that loses one third of its food in November is having a bad month, while a household that loses all of it is finished.","Everything, at once, on somebody else's schedule. Aiden had watched three households cleared out in an afternoon in the second summer and every one of them had kept a good store in one dry room, which is exactly what a careful person would do. Keep the third cache genuinely secret and check it twice a year, because the failure mode of a buried cache is that it is wet and nobody looked."
