n,chapter,chapter_title,part,quote,attribution,what_it_means,how_to_use_it
21,2,Rigging the Terms,One,That's just semantics.,Dismissing Definition When It Suits,"Deployed by whoever benefits from the looser word, right after they have themselves insisted on a precise one. It sounds like impatience with pedantry and functions as a refusal to be specific.","""It's semantics when the meaning doesn't change the answer. Here it does, because X."" Then show the two readings and the two different conclusions. That is the whole distinction, and stating it once tends to end this particular move for the rest of the conversation."
22,2,Rigging the Terms,One,"Before we go further, we should define our terms.",The Definitional Filibuster,"It is unimpeachable in principle, and in practice it can consume every minute available. Nobody can object to defining terms, so the argument never reaches the part where somebody might lose it.","Timebox it out loud. ""Agreed, five minutes, then we take the question as it stands."" Naming a limit converts an infinite process into a finite one and makes any further stalling visible as stalling."
23,2,Rigging the Terms,One,I never said that.,The Retroactive Edit,"Memory is weak and nobody has a transcript. In most rooms the confident denial beats the accurate recollection, and pursuing it makes you look like you are keeping score.","Do keep score, and quote rather than characterise. ""You said the figures were signed off. I wrote it down at the time."" Then move on immediately, without demanding an admission. The record is the point; the apology is not worth the ten minutes."
24,2,Rigging the Terms,One,If you're going to be pedantic about it.,Making Precision a Character Flaw,"It reframes accuracy as a personality defect. Once the room accepts that you are the pedant, every subsequent correction you make is discounted before it is heard, however material it turns out to be.","Own it lightly and carry on. ""I am, about this one, because the answer changes depending on it."" Cheerful ownership defuses the label. Defending yourself against it confirms it."
25,3,The Straw Man and His Family,One,So what you're saying is we should just do nothing.,The Straw Man,"The exaggerated version is easy to refute, so refuting it produces the feeling of a win in the room. It also puts you on defence, which means you have stopped advancing your own case for as long as the correction takes.","Give the sentence, not the objection. ""What I'm saying is we should do the first two and wait on the third."" No indignation, no accusation. The clean restatement is faster than the argument about whether they misrepresented you, and it works on sincere and cynical versions alike."
26,3,The Straw Man and His Family,One,So basically you don't care about the people affected.,The Motive Upgrade,"It converts a disagreement about policy into a claim about your character, and character is much harder to defend than a position. Any defence sounds like protesting too much, and refusing to defend sounds like an admission.","Decline the frame flatly, once. ""I care about them and I think this makes it worse for them. That's the disagreement."" Then return to the substance without waiting. Litigating your own decency is a trap with no exit; declining it in one sentence is the only version that works."
27,3,The Straw Man and His Family,One,By that logic we'd have to ban ladders.,The Reductio That Isn't,"A real reduction to absurdity shows that your principle produces a conclusion you would reject. The fake version applies your principle to a case it never covered, and it lands because the audience rarely checks whether the extension was legitimate.","Name the missing condition. ""My argument had a threshold in it. Ladders don't cross it."" If the principle does entail the absurd case, they have found a real hole and you should say so; if it does not, showing the join ends the move immediately."
28,3,The Straw Man and His Family,One,What you're really arguing for is a two-tier system.,Telling You What You Think,"The word *really* claims access to your actual position underneath your stated one. It is unanswerable by denial, because denying it can be presented as further evidence that you have not admitted it even to yourself.","Refuse the archaeology. ""I'll tell you what I'm arguing for. It's X."" Say it once, without heat. You are the authority on your own claim, and asserting that calmly is more effective than proving a negative about your hidden intentions."
29,3,The Straw Man and His Family,One,Suppose someone said all landlords are criminals. Would you defend that?,The Hypothetical Sock Puppet,"An invented opponent is introduced who holds a position nobody in the room does, and you are asked to answer for them. Refuse and you look evasive; engage and you have spent your time on somebody who does not exist.","Decline the hypothetical and offer the real one. ""I've no idea, nobody here said that. Ask me about what I did say."" Short and unembarrassed. The invented opponent only survives while somebody agrees to debate them."
30,3,The Straw Man and His Family,One,"Once you allow this, where does it end?",The Slippery Slope,"The chain always sounds plausible because each individual link is small, and refuting it requires arguing about a future nobody can check. It also carries real force, because sometimes slopes are genuinely slippery.","Ask for the mechanism. ""What's the step from here to there, and what stops it?"" A real slope can name the mechanism, and then it is a serious argument you should take seriously. A fake one names only the destination, and asking makes that gap obvious."
31,3,The Straw Man and His Family,One,That's exactly what they said in the 1930s.,Guilt by Historical Association,"It attaches a repellent association to a position without claiming any actual similarity, and the association does all the work. Denying it means talking about the 1930s, which is time not spent on the question.","Test whether the analogy carries anything. ""Which part of the comparison do you think holds?"" Almost always the answer is the surface, and asking makes the speaker either supply a real parallel worth discussing or drop it quietly."
32,3,The Straw Man and His Family,One,I'm just asking questions.,Just Asking Questions,"It advances a claim while retaining the right to deny having made one. The question plants the implication and the disclaimer removes the responsibility, so there is nothing to rebut and everything to worry about.","Convert the question into the claim it contains. ""The question implies X. Do you think X?"" A yes is progress, because now there is an actual position on the table. A no should be followed by dropping the question, and if it is not, everyone can see it."
33,3,The Straw Man and His Family,One,A lot of people are saying the figures were manipulated.,The Anonymous Ally,"It borrows the weight of a crowd without naming anybody, so there is no source to check and no claim the speaker owns. Disagreeing puts you against an unspecified many rather than against one person in the room.","Ask who, without sarcasm. ""Which people? I'd like to read it."" If the crowd is real you get a source and learn something. If it is not, the request is enough, and it is noticeably harder to run the move a second time."
34,3,The Straw Man and His Family,One,"Oh, so we should just trust them, should we.",The Sarcastic Restatement,"Sarcasm delivers a straw man while pre-emptively mocking the correction, so pointing out the misrepresentation also means being the person who cannot take a joke. Two moves in one sentence, and the second protects the first.","Answer the literal question as though it were sincere. ""Not blindly, no. I'd check the audit, which is what I'm suggesting."" Treating sarcasm as a real question strips it of its cover, and it does so without ever addressing the tone, which is where the fight would be."
35,3,The Straw Man and His Family,One,Nobody is saying we should abolish the whole thing.,The Pre-emptive Straw Man,"It is aimed at a position you have not taken, and it inoculates the room against you taking anything near it. Whatever you now propose is measured against the extreme version that was raised on your behalf and disowned.","Take back the range. ""Agreed, and I'm not. What I'm proposing is the narrow version, which is X."" State it early and specifically. Once the extreme is in the air, the only cure is to be conspicuously more precise than the situation seems to need."
36,3,The Straw Man and His Family,One,That's a strawman.,The Straw Man Accusation as a Move,"The name of the fallacy has become a move in its own right. Deployed against an accurate summary, it lets somebody dodge a fair characterisation of their position by accusing you of the very thing you have not done.","Offer them the pen. ""Then give me the version you'd sign."" If they produce one, you now have their position in their own words, which is what you wanted. If they will not, the accusation was doing work their argument could not."
37,4,Playing the Man,Two,"Well, you would say that, wouldn't you.",The Motive Sneer,"It explains your position instead of engaging it. Once your view has a cause, it no longer needs a refutation, and the cause offered is always something self-interested rather than something reasoned.","Grant and pivot in one sentence. ""I would, and it's also true. Here's the figure."" Denying the motive is a losing game because motives are invisible. Accepting it costs you nothing as long as the evidence follows immediately."
38,4,Playing the Man,Two,You're getting very emotional about this.,Tone Policing,"It moves the subject from the argument to your delivery of it, and it is self-confirming: any objection to being called emotional can be presented as emotion. It also implies a standard of calm that the speaker has appointed themselves to judge.","Do not adjust and do not deny. ""I care about it, yes. Does that change the numbers?"" Refusing both the denial and the correction leaves them holding a comment about your voice while everybody waits for an answer about the thing."
39,4,Playing the Man,Two,"With the greatest respect, that's simply not how it works.",The Politeness Wrapper,"The wrapper buys social permission for the contents. Everybody hears the courtesy and files the dismissal as reasonable, and objecting to the substance now means objecting to somebody being polite to you.","Take the wrapper off and answer the middle. ""How does it work, then?"" No comment on the tone at all. The demand for the actual claim is what the courtesy was substituting for."
40,4,Playing the Man,Two,Are you actually qualified to have a view on this?,The Credential Challenge,"It shifts the burden from the claim to the claimant, and the claimant almost never has quite the right credential, because nobody does. It is also socially costly to answer, since listing your qualifications makes you look defensive.","Send it back to the argument. ""Probably not. Which part of what I said is wrong?"" Arguments do not have credentials; they have premises and a conclusion. Saying so once is enough, and it is unanswerable without engaging."
41,4,Playing the Man,Two,You've obviously got skin in the game here.,Interest as Refutation,"Interest is real and worth knowing about, which is what makes this so effective as a smear. It is also universal: everybody has an interest in something, so the move can be run on anyone at any time.","Declare it first and keep going. ""I do, I've said so, and the audit says the same thing."" Disclosed interest is much weaker than exposed interest, which is why saying it before they do removes most of the charge."
42,4,Playing the Man,Two,That's not what you said last year.,The Consistency Trap,"It substitutes a claim about your record for a claim about the world, and it makes changing your mind look like a defect rather than a response to evidence. Both positions cannot be right, so you must have been wrong once, and doubt attaches to the current one.","Own the change and give the reason. ""It isn't. The figures came in and I changed my mind."" Then stop. A stated reason converts the inconsistency from a character flaw into the ordinary thing it is, and nobody can attack you for updating without sounding foolish."
43,4,Playing the Man,Two,Calm down.,The Calm-Down,"It cannot be answered without appearing to prove the point, and it costs nothing to say. It also grants the speaker the role of the composed adult, which is worth more in most rooms than any argument.","Do not defend your composure. ""I'm calm. The question is still open."" Say it in exactly the register you were already using. Matching your tone to your words is more convincing than any protest, and it returns the floor to the topic in six words."
44,4,Playing the Man,Two,I'm honestly a bit surprised at you.,Disappointment as Argument,"It applies social pressure without making any claim that can be tested. Disappointment implies a standard you have fallen below, and you are invited to work out what it was and climb back up, which takes the rest of the conversation.","Ask for the content. ""Surprised at what, specifically?"" Disappointment that has to name its object turns out to be disagreement, and once it is named as disagreement it can be argued with."
45,4,Playing the Man,Two,That's such a typical response from someone in your position.,Category Assignment,"It answers you as a representative rather than as a person, so anything you say is evidence of the category rather than evidence about the world. It is also the fastest way to make an audience stop listening to specifics.","Decline membership without arguing about the category. ""I can only tell you what I think. Which bit of it is wrong?"" Do not defend the group; that is a separate and much longer argument, and taking it up is how the move wins its time."
46,4,Playing the Man,Two,You clearly haven't read the report.,Assumed Ignorance,"If true it is devastating, and if false it costs the speaker nothing to have guessed. Either way you now have to prove you have read something, which is both tedious and impossible to do convincingly in a sentence.","Quote it. ""Page eleven says the opposite of what you just described."" One specific reference does more than any protestation, and it reverses the assumption permanently for the rest of the discussion."
47,4,Playing the Man,Two,"I'm not attacking you personally, obviously.",Denying the Attack While Making It,"The disclaimer functions as a shield for whatever follows, and it pre-empts your objection by having already denied the thing. If you then say it felt personal, you are contradicting a stated intention, which sounds like an accusation of lying.","Ignore the frame and answer the content. Responding to the disclaimer is the trap; there is nothing there to engage. If the content was itself an attack with no argument in it, the fair response is ""there's no claim in that I can answer,"" said mildly, once."
48,4,Playing the Man,Two,I've known Tom for twenty years and he'd never do that.,Character Reference as Evidence,"It substitutes a general impression for particular facts, and it is emotionally powerful because it is often sincere. Contradicting it means appearing to call a decent person's judgement of their friend into question.","Separate the two things gently. ""I believe you about who he is. The question is what happened on the fourteenth."" Character is evidence, weakly, about propensity. It is not evidence about a specific event, and the distinction can be made without any suggestion that anybody is lying."
49,5,Borrowed Authority,Two,Studies show that it actually increases costs.,The Unnamed Study,"The word *studies*, plural and anonymous, borrows the entire authority of research without accepting any of its accountability. There is nothing to check, and doubting it sounds like doubting science.","""Which one? I'd genuinely like to read it."" The word *genuinely* matters, because it removes the accusation. Most of the time no study is produced, and the claim deflates without you ever having called anyone a liar."
50,5,Borrowed Authority,Two,Every expert in the field agrees.,The Consensus Claim,"It makes disagreement into eccentricity. Whatever you say next is positioned against the whole profession, and the audience has no way to check whether the consensus exists or whether it covers this exact question.","Narrow it to the claim. ""Agrees on what precisely? There's usually consensus on some parts and not others."" Real consensus survives specificity easily. Invented consensus is always broader than any real one, and asking exposes the width."
51,5,Borrowed Authority,Two,"As Einstein said, insanity is doing the same thing and expecting different results.",The Misattributed Quote,"The name does the persuading, not the sentence. Four names attract orphaned quotations more than any others: Einstein, Twain, Churchill and the Buddha. A neat line under any of them deserves suspicion, and this particular one is not Einstein's at all.","Leave the attribution alone unless it matters, and go at the claim. ""Whoever said it, is it true here? We've changed three things since last time."" Correcting the source scores a point and loses the thread; testing the sentence keeps the argument where you want it."
52,5,Borrowed Authority,Two,I've been doing this for thirty years.,Experience as Trump Card,"Experience is valuable and impossible to acquire quickly, so it cannot be matched in the room. It also converts disagreement into disrespect, which most people will avoid at some cost to their argument.","Ask experience to do what only experience can. ""Then you'll have seen this before. What happened those times?"" Thirty years used as a claim is an assertion of rank; thirty years used as data is useful, and the question invites the second."
53,5,Borrowed Authority,Two,Do your own research.,Outsourcing the Burden,"It shifts the entire cost of establishing a claim onto the person who doubts it, while allowing the claim to stand in the meantime. It also implies your ignorance is the reason for the disagreement.","Decline the transfer, once, pleasantly. ""You made the claim, so you'll have the source to hand. Where is it?"" Whoever asserts, supports. That rule is not pedantry; it is the only thing that makes discussion possible at all."
54,5,Borrowed Authority,Two,"It's basic economics, honestly.",The Discipline Invocation,"Naming a field implies that the answer is settled within it and that you would know this if you were educated. It works especially well with economics, physics and law, which most people have encountered enough to feel unqualified about.","Ask which part. ""Which bit of it? I want to look it up."" Genuine textbook results are easy to name. When the invocation is a bluff, the specific never arrives, and the field goes back to being irrelevant to the question."
55,5,Borrowed Authority,Two,Common sense tells you that won't work.,Common Sense as Authority,"It presents a contested claim as something obvious to any reasonable person, which makes disagreement a sign of either foolishness or ideology. It also requires no evidence at all, which is its great efficiency.","""Common sense also said heavier things fall faster. What's the evidence here?"" One counterexample is enough. The point is not that common sense is worthless, only that it is a hypothesis rather than a verdict."
56,5,Borrowed Authority,Two,Even the auditors agree with me on this.,The Endorsement Grab,"It recruits a third party who is not in the room to defend a position they may not hold, and because checking would be awkward, the endorsement usually stands unexamined for the length of the conversation.","Ask what they agreed to. ""Agreed on which finding? I read the report differently."" Endorsements shrink under specificity. Often it turns out the third party agreed with something adjacent, which is worth knowing and worth saying out loud."
57,5,Borrowed Authority,Two,That's been thoroughly debunked.,The Debunk Claim,"It asserts that the argument is not merely wrong but already dealt with, so engaging with it would be a waste of everyone's time. It borrows the authority of a process that may never have happened.","""By whom, and where? I'd like to see it."" Same request as always. A real debunking is easy to point at and settles the matter properly, which is a good outcome. A claimed one dissolves."
58,5,Borrowed Authority,Two,"It's peer reviewed, actually.",The Credential of the Source,"It answers a question about the content with a fact about the container. Peer review is a filter, not a guarantee, and treating it as a guarantee ends the conversation with the appearance of rigour.","Accept the credential and ask about the finding. ""Good, so what did it actually measure?"" Sample size, method, and what the paper claims as opposed to what the headline claims are all fair questions that respect the review process rather than dismissing it."
59,5,Borrowed Authority,Two,My cousin works in the hospital and she says it's nothing like that.,The Anecdotal Insider,"A named human being with proximity beats an abstract statistic every time. It also cannot be checked and cannot be doubted politely, since doubting it means doubting somebody's cousin.","Give the anecdote its due and set it beside the data. ""That's one hospital, and it might well be the worst one. What does the national figure say?"" Nothing here calls the cousin a liar, which is what makes it possible to say."
60,5,Borrowed Authority,Two,"Look, I'm not an expert, but it seems obvious to me that...",The Humble Shield,"The disclaimer buys immunity in advance. If the claim is challenged, the speaker has already said they are no expert, so a rebuttal looks like bullying somebody who was being modest.","Take the modesty at face value and treat the claim normally. ""Nor am I. Here's what the figures show."" The shield only works if you attack the person. Answering the claim as though it were offered seriously, which it was, leaves the disclaimer with nothing to protect."
61,6,Purity Tests,Two,If you actually cared about this you'd have said something months ago.,The Sincerity Test,"It makes the timing of your concern the evidence for its authenticity, and there is no timing that passes. Early is opportunism, late is bandwagoning, and now is suspicious.","Answer the question underneath rather than the charge. ""I should have. I'm saying it now, and here's what I think we do."" Agreeing you were late costs almost nothing and removes the only fuel the move had, which was your defensiveness about the date."
62,6,Purity Tests,Two,"Honestly, you're part of the problem here.",Complicity Assignment,"It converts disagreement into causation. You are no longer someone with a different view; you are one of the reasons the situation persists, which means engaging with your argument would itself be a form of collaboration.","Decline once, without indignation, and stay on the substance. ""I might be. The proposal still has the flaw I described."" Arguing about whether you are part of the problem is the trap, because it is unfalsifiable and it takes the rest of the evening."
63,6,Purity Tests,Two,Where were you when we needed people?,The Attendance Record,"It substitutes a biography for an argument, and most biographies have gaps. It also has real moral weight behind it, because people who did the work when it was costly are owed something, and everybody in the room knows it.","Give the credit and keep the claim. ""You were there and I wasn't, and I'm grateful. This part still doesn't add up."" Refusing to compete on record makes the move stop, and acknowledging the debt is not a concession on the substance."
64,6,Purity Tests,Two,That's a very comfortable thing to say from where you're sitting.,Position as Disqualification,"It attaches your argument to your circumstances, and comfort is disqualifying in a way that nothing else is. It cannot be denied, because you are indeed sitting where you are sitting.","Concede the position, contest the inference. ""It is comfortable, and I might be wrong for that reason. Is the number wrong?"" Where somebody stands is a reason to check their work harder. It is not a finding about the work."
65,6,Purity Tests,Two,You can't say that and still fly to Spain every summer.,The Hypocrisy Catch,"Hypocrisy is unattractive, and pointing it out feels like a substantive win. What it actually establishes is a fact about the arguer, not about the argument, but the two are hard to keep apart in the moment.","Admit it flatly and separate the questions. ""I'm a hypocrite about this and the policy would still work."" Immediate admission is disarming, because the move relies on your reluctance to concede. A hypocrite can be right, and an argument does not improve when a better person makes it."
66,6,Purity Tests,Two,"So you're on their side now, are you.",Forced Alignment,"It converts a specific disagreement into a change of team, which raises the cost of the disagreement enormously. Most people will abandon a good point rather than be reassigned.","Refuse the binary in one sentence. ""I'm not on anyone's side. I think this particular claim is wrong, for this particular reason."" The specificity is what breaks it. Sides deal in generalities, and a narrow claim is hard to conscript."
67,6,Purity Tests,Two,This isn't some academic debate. These are people's lives.,Denying the Argument's Standing,"It reframes analysis as indifference. If the stakes are high enough, examining the argument becomes a luxury, and the person examining it becomes someone who has failed to grasp the seriousness.","Turn the stakes around. ""That's exactly why the plan has to be right. If it doesn't work, those are the people it fails."" High stakes are the strongest possible reason for scrutiny, not against it, and saying so makes the move backfire cleanly."
68,6,Purity Tests,Two,Read the room.,Social Pressure as Refutation,"It reports a fact about the crowd and offers it as a fact about the world. It is entirely honest about being an appeal to conformity, which is somehow what makes it so difficult to answer without sounding contrarian.","Acknowledge the room and hold the point. ""I know I'm the only one saying it. Is it wrong?"" Being outnumbered is not evidence. Saying that calmly, without any suggestion that being outnumbered makes you right either, is the whole answer."
69,6,Purity Tests,Two,I really shouldn't have to explain this to you.,The Refusal to Argue,"It positions your question as so basic that answering it would be beneath the speaker, which converts their inability or unwillingness to explain into a comment on your ignorance.","Accept the ignorance cheerfully. ""You don't have to. But I'd understand it better if you did."" Taking the low status on purpose removes the sting and leaves the request standing, which is the only thing you wanted."
70,6,Purity Tests,Two,Just do better.,The Unfalsifiable Demand,"It sounds like a standard and contains none. There is no action that satisfies it and no way to demonstrate compliance, so it can be repeated indefinitely regardless of what you actually do.","Ask for the specific. ""I'd like to. What would you want me to do differently?"" A real complaint can answer that, and then you have something to act on. One that cannot has told you it was about position rather than behaviour."
71,6,Purity Tests,Two,That's an interesting position for you of all people to take.,The Implication,"It makes an accusation without stating one, so there is nothing to deny. Whatever the room imagines you are being accused of is worse and vaguer than anything the speaker would have said out loud.","Bring it into the open, without heat. ""Go on, say what you mean."" Insinuation depends on not being asked to become a claim. Most of the time it will not survive the invitation, and either way the vagueness ends."
72,6,Purity Tests,Two,Nobody serious believes that any more.,The Fashion Argument,"It dates your position rather than refuting it, and being out of date is a social failure rather than an intellectual one, so there is nothing to argue with. It is also sometimes true, which is the honest version of this move.","Ask what changed. ""What came out that changed people's minds? I'll read it."" If there is a genuine development, you have learned something and should update. If the answer is only that the mood moved, everybody has now heard that, and mood is not evidence."
73,7,Numbers That Lie,Three,Complaints are up three hundred percent since the change.,The Percentage With No Base,"A percentage sounds like a measurement and is a ratio, and the ratio is meaningless without the starting number. Three complaints becoming twelve is three hundred percent, and so is thirty thousand becoming a hundred and twenty thousand.","""Up from what to what?"" Ask before responding to the implication. Four words, and about half the time the answer makes the point evaporate on the spot without you having to make any argument at all."
74,7,Numbers That Lie,Three,We've saved two million pounds.,The Number With No Denominator,"Two million is large in ordinary life and can be trivial or enormous in an institution, and without the total there is no way to know which. The figure borrows its weight from the listener's household rather than from the budget it came out of.","""Out of what total, over what period?"" Two million from four hundred million over five years is a rounding adjustment. The same figure from a twelve million pound budget in one year is a different story, and the phrasing is identical."
75,7,Numbers That Lie,Three,Nine out of ten users said they preferred it.,The Sample You Are Not Shown,"The ratio is reported and the sampling is not. Ten out of eleven people who bothered to respond to an email sent to people who had already opted in is a real nine out of ten, and it tells you nothing about users.","""How many were asked, and how many answered?"" Response rate is where most survey claims die. It is a neutral, technical question that nobody can take offence at, and it does more damage than any argument about methodology."
76,7,Numbers That Lie,Three,"Since the policy came in, waiting times have fallen.","After, Therefore Because","Two things happened in an order and the order implies the cause. It is the way human beings naturally read events, so it needs no argument to be persuasive and considerable argument to dislodge.","Ask what else moved. ""What were waiting times doing before the policy, and what happened in comparable places without it?"" A trend that was already falling, or one that fell everywhere, answers the question and does so with the speaker's own data."
77,7,Numbers That Lie,Three,The average salary in the team is sixty-eight thousand.,The Mean Hiding the Spread,"The mean is dragged by extremes, so one very large number at the top can lift the average well above what almost everybody actually earns. The word *average* implies typical, and here it means nothing of the sort.","""What's the median?"" One word. The gap between mean and median is the whole story, and asking for it is so obviously reasonable that refusing looks worse than any answer."
78,7,Numbers That Lie,Three,The result was statistically significant.,Significance Mistaken for Size,"The technical meaning is that an effect is unlikely to be zero. The everyday meaning is that it matters. The two get conflated , and a real but tiny effect gets discussed as though it were a large one.","""Significant, but how big is the effect?"" A drug that reliably lowers something by half a percent is significant and useless. Separating the two questions is not scepticism about the study; it is reading it correctly."
